Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Chen Huwen,2.8,China,stationery,1111,50.0,"Shanghai, China",China,,,,True,POINT (121.4692071 31.2322758)
Chen Huxiong,2.8,China,stationery,1111,50.0,"Shanghai, China",China,,,,True,POINT (121.4692071 31.2322758)
Chen Tianshi,2.8,China,semiconductors,1111,36.0,"Beijing, China",China,,,,True,POINT (116.3912757 39.906217)
James Clark,2.8,United States,"Netscape, investments",1111,77.0,"Palm Beach, Florida",United States,Married,4.0,"Bachelor of Arts/Science, University of New Orleans; Master of Science, University of New Orleans; Ph.D, University of Utah",True,POINT (-80.4494174 26.6279798)
Jean Coutu & family,2.8,Canada,drugstores,1111,93.0,"Montreal, Canada",Canada,Married,5.0,,True,POINT (-73.61036420000001 45.4972159)
Deng Weiming & family,2.8,China,materials,1111,52.0,"Changsha, China",China,Married,,,True,POINT (112.9335861 28.2302056)
Bergit Douglas,2.8,Germany,consumer goods,1111,74.0,"Frankfurt, Germany",Germany,Married,5.0,,False,POINT (8.682091700000001 50.1106444)
Doris Fisher,2.8,United States,Gap,1111,89.0,"San Francisco, California",United States,Widowed,3.0,"Bachelor of Arts/Science, Stanford University",True,POINT (-122.419906 37.7790262)
Gary Friedman,2.8,United States,Furniture retail,1111,63.0,"Belvedere, California",United States,In Relationship,2.0,"Drop Out, Santa Rosa Junior College",True,POINT (-122.4626994 37.8663951)
Valentin Gapontsev & family,2.8,United States,lasers,1111,82.0,"Worcester, Massachusetts",United States,Married,1.0,"Bachelor of Science in Engineering, Lviv Polytechnic National University; Ph.D, Moscow Institute of Physics and Technology",True,POINT (-71.80188769999999 42.2625621)
David Gottesman,2.8,United States,investments,1111,95.0,"Rye, New York",United States,Married,3.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Trinity College Connecticut",True,POINT (-73.68429399999999 40.9808209)
John Henry,2.8,United States,sports,1111,71.0,"Boca Raton, Florida",United States,Married,2.0,,True,POINT (-80.0830984 26.3586885)
Alan Howard,2.8,United Kingdom,hedge funds,1111,57.0,"Geneva, Switzerland",United Kingdom,Married,4.0,"Master of Science, Imperial College London",True,POINT (6.1466014 46.2017559)
Micky Jagtiani,2.8,India,retail,1111,69.0,"Dubai, United Arab Emirates",India,Married,3.0,,False,POINT (55.1885387 25.0742823)
Travis Kalanick,2.8,United States,Uber,1111,44.0,"Los Angeles, California",United States,Single,,"Drop Out, University of California, Los Angeles",True,POINT (-118.242766 34.0536909)
Alicia Koplowitz,2.8,Spain,"construction, investments",1111,67.0,"Madrid, Spain",Spain,Divorced,3.0,,False,POINT (-3.7035825 40.4167047)
Timur Kulibaev,2.8,Kazakhstan,banking,1111,54.0,"Almaty, Kazakhstan",Kazakhstan,Married,3.0,"Bachelor of Arts/Science, Moscow State University",True,POINT (76.9457275 43.2363924)
Dinara Kulibaeva,2.8,Kazakhstan,banking,1111,53.0,"Almaty, Kazakhstan",Kazakhstan,Married,3.0,"Doctorate in Pedagogical Sciences, State Institute of Theatre Arts (GITIS, Moscow)",False,POINT (76.9457275 43.2363924)
Li Liufa & family,2.8,China,"steel, diversified",1111,63.0,"Ruzhou, China",China,Married,,"EMBA, Peking University",True,POINT (112.8392579 34.1678145)
Li Sze Lim,2.8,Hong Kong,real estate,1111,64.0,"Guangzhou, China",Hong Kong,Married,1.0,Chinese University of Hong Kong,True,POINT (113.2592945 23.1301964)
Li Xiaohua & family,2.8,China,packaging,1111,59.0,"Yuxi, China",China,Married,,"Master of Science, University of Massachusetts",True,POINT (102.5060902 28.6439377)
Liu Ming Hui,2.8,China,natural gas distribution,1111,58.0,"Hong Kong, Hong Kong",China,,,"Master of Arts, Renmin University of China",True,POINT (114.1628131 22.2793278)
Lv Jianming,2.8,Hong Kong,medical equipment,1111,56.0,"Hangzhou, China",Hong Kong,,,,True,POINT (120.2052342 30.2489634)
Rudy Ma,2.8,Taiwan,finance,1111,80.0,Taiwan,Taiwan,Married,2.0,"EMBA, National Chengchi University; National Taiwan University",True,POINT (120.9820179 23.9739374)
"Drayton McLane, Jr.",2.8,United States,"Walmart, logistics",1111,84.0,"Temple, Texas",United States,Married,2.0,"Bachelor of Arts/Science, Baylor University; Master of Business Administration, Broad College of Business",False,POINT (-97.3427847 31.098207)
Hans Melchers,2.8,Netherlands,"chemicals, investments",1111,83.0,"Vorden, Netherlands",Netherlands,Married,2.0,,True,POINT (6.3126099 52.1041075)
Nguyen Thi Phuong Thao,2.8,Vietnam,airlines,1111,50.0,"Ho Chi Minh City, Vietnam",Vietnam,Married,4.0,,True,POINT (106.7017555 10.7758439)
Philip Niarchos,2.8,Greece,art collection,1111,67.0,"Paris, France",Greece,Married,4.0,,False,POINT (2.3514616 48.8566969)
Alfred Oetker,2.8,Germany,consumer goods,1111,54.0,"Bielefeld, Germany",Germany,Married,,,False,POINT (8.531007000000001 52.0191005)
August Oetker,2.8,Germany,consumer goods,1111,76.0,"Bielefeld, Germany",Germany,Married,,,False,POINT (8.531007000000001 52.0191005)
Carl Ferdinand Oetker,2.8,Germany,consumer goods,1111,48.0,"Bielefeld, Germany",Germany,,,,False,POINT (8.531007000000001 52.0191005)
Christian Oetker,2.8,Germany,consumer goods,1111,72.0,"Bielefeld, Germany",Germany,,,,False,POINT (8.531007000000001 52.0191005)
Julia Oetker,2.8,Germany,consumer goods,1111,42.0,"Bielefeld, Germany",Germany,Married,,,False,POINT (8.531007000000001 52.0191005)
Richard Oetker,2.8,Germany,consumer goods,1111,70.0,"Bielefeld, Germany",Germany,,,,False,POINT (8.531007000000001 52.0191005)
Heloise Pratt,2.8,Australia,"manufacturing, investment",1111,58.0,"Melbourne, Australia",Australia,Separated,3.0,,False,POINT (144.960964 -37.8077694)
Filiz Sahenk,2.8,Turkey,diversified,1111,54.0,"Istanbul, Turkey",Turkey,Single,,,False,POINT (28.9651646 41.0096334)
T. Denny Sanford,2.8,United States,"banking, credit cards",1111,85.0,"Sioux Falls, South Dakota",United States,Divorced,2.0,"Bachelor of Arts/Science, University of Minnesota",True,POINT (-96.70033239999999 43.549973)
Karin Schick,2.8,Germany,information technology,1111,,"Gaildorf, Germany",Germany,,,,False,POINT (9.769852500000001 49.0002603)
Hilton Schlosberg,2.8,United Kingdom,energy drinks,1111,68.0,"Irvine, California",United Kingdom,,,,True,POINT (-117.8259819 33.6856969)
Rosely Schweizer,2.8,Germany,consumer goods,1111,80.0,"Bielefeld, Germany",Germany,Married,3.0,,False,POINT (8.531007000000001 52.0191005)
Warren Stephens,2.8,United States,investment banking,1111,64.0,"Little Rock, Arkansas",United States,Married,3.0,"Master of Business Administration, Wake Forest University School of Business; Bachelor of Arts/Science, Washington & Lee University",False,POINT (-92.2895948 34.7464809)
Konstantin Strukov,2.8,Russia,"gold, coal mining",1111,62.0,"Chelyabinsk, Russia",Russia,Married,2.0,"Master of Science, Magnitogorsk Mining and Metallurgical Institute",True,POINT (61.4025547 55.1598408)
Kenneth Tuchman,2.8,United States,outsourcing,1111,61.0,"Denver, Colorado",United States,Married,2.0,,True,POINT (-104.9848623 39.7392364)
Masateru Uno & family,2.8,Japan,drugstores,1111,74.0,"Fukuoka, Japan",Japan,,,,True,POINT (130.6180016 33.6251241)
Stefan von Holtzbrinck,2.8,Germany,publishing,1111,57.0,"Stuttgart, Germany",Germany,,,"Diploma, University of Munich",False,POINT (9.180013199999999 48.7784485)
Lars Wingefors,2.8,Sweden,video games,1111,44.0,"Karlstad, Sweden",Sweden,Married,,,True,POINT (13.5027631 59.3809146)
Wong Kwong Yu & family,2.8,China,retail,1111,51.0,"Beijing, China",China,Married,2.0,,True,POINT (116.3912757 39.906217)
Xiong Wu,2.8,China,software,1111,45.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
Xu Jinfu,2.8,China,chemicals,1111,57.0,"Guangzhou, China",China,,,,True,POINT (113.2592945 23.1301964)
Tony Xu,2.8,United States,food delivery service,1111,36.0,"San Francisco, California",United States,,,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of California, Berkeley",True,POINT (-122.419906 37.7790262)
Xu Zhihan,2.8,China,electronics,1111,48.0,"Wuxi, China",China,,,,True,POINT (120.3074357 31.4933074)
Zhong Ruonong & family,2.8,China,electronics,1111,58.0,"Zhuzhou, China",China,Married,,,True,POINT (113.1529127 27.4989086)
Miriam Baumann-Blocher,2.7,Switzerland,chemicals,1174,46.0,"Rheinfelden, Switzerland",Switzerland,,,,False,POINT (7.7922905 47.5543859)
Timothy Boyle,2.7,United States,Columbia Sportswear,1174,71.0,"Portland, Oregon",United States,Married,2.0,"Bachelor of Arts/Science, University of Oregon",True,POINT (-122.6741949 45.5202471)
John Paul DeJoria,2.7,United States,"hair products, tequila",1174,77.0,"Austin, Texas",United States,Married,6.0,"Diploma, High School",True,POINT (-97.74369950000001 30.2711286)
Mitchell Goldhar,2.7,Canada,real estate,1174,59.0,"North York, Canada",Canada,Single,,"Bachelor of Arts/Science, York University",True,POINT (-79.449117 43.7543263)
Luciano Hang,2.7,Brazil,department stores,1174,58.0,"Brusque, Brazil",Brazil,Married,3.0,,True,POINT (-48.9136323 -27.0964628)
Georg Haub,2.7,Germany,retail,1174,59.0,"Berlin, Germany",Germany,Married,,,False,POINT (13.3888599 52.5170365)
Victor Jacobsson,2.7,Sweden,fintech,1174,39.0,"Stockholm, Sweden",Sweden,,,"Master of Science, Stockholm School of Economics",True,POINT (18.0710935 59.3251172)
James Jannard,2.7,United States,sunglasses,1174,71.0,"San Juan Islands, Washington",United States,Married,4.0,"Drop Out, University of Southern California",True,POINT (-118.4630907 33.9809608)
Vinod Khosla,2.7,United States,venture capital,1174,66.0,"Portola Valley, California",United States,Married,4.0,"Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology; Master of Business Administration, Stanford Graduate School of Business",True,POINT (-122.219047 37.3736298)
Valentin Kipyatkov,2.7,Russia,computer software,1174,44.0,"Prague, Czechia",Russia,Married,1.0,"Master of Science, Saint Petersburg State University",True,POINT (14.4212535 50.0874654)
Lim Kok Thay,2.7,Malaysia,casinos,1174,69.0,"Kuala Lumpur, Malaysia",Malaysia,Married,3.0,"Harvard Business School; Bachelor of Arts/Science, University of London",False,POINT (101.6942371 3.1516964)
Lu Zhiqiang,2.7,China,real estate,1174,68.0,"Beijing, China",China,Married,,"Master of Arts, Fudan University",True,POINT (116.3912757 39.906217)
Sergio Mantegazza,2.7,Switzerland,travel,1174,93.0,"Lugano, Switzerland",Switzerland,Married,2.0,,True,POINT (8.9520281 46.0050102)
Franziska Wuerbser & Gabriella Meister,2.7,Germany,appliances,1174,,"Landsberg am Lech, Germany",Germany,,,,False,POINT (10.8737728 48.0514973)
Nan Cunhui,2.7,China,power equipment,1174,57.0,"Wenzhou, China",China,Married,,,True,POINT (120.695345 27.9963899)
Ou Zongrong & family,2.7,China,real estate,1174,57.0,"Shanghai, China",China,,,,True,POINT (121.4692071 31.2322758)
Sean Parker,2.7,United States,Facebook,1174,41.0,"Los Angeles, California",United States,Married,2.0,"Diploma, High School",True,POINT (-118.242766 34.0536909)
Richard Peery,2.7,United States,real estate,1174,82.0,"Palo Alto, California",United States,Married,4.0,"Bachelor of Arts/Science, Brigham Young University",True,POINT (-122.1598465 37.4443293)
"H. Ross Perot, Jr.",2.7,United States,real estate,1174,62.0,"Dallas, Texas",United States,Married,4.0,"Bachelor of Arts/Science, Vanderbilt University",False,POINT (-96.7968559 32.7762719)
Su Suyu & family,2.7,China,"utilities, real estate",1174,72.0,"Shantou, China",China,,,,True,POINT (116.6775918 23.356377)
Sun Shoukuan,2.7,China,"metals, coal",1174,71.0,"Yingkou, China",China,Married,2.0,,True,POINT (122.2357736 40.6747155)
Harley Sy,2.7,Philippines,diversified,1174,61.0,"Manila, Philippines",Philippines,Married,,"Bachelor of Science, De La Salle University",False,POINT (120.9809674 14.5907332)
"Henry Sy, Jr.",2.7,Philippines,diversified,1174,68.0,"Manila, Philippines",Philippines,Married,3.0,"Bachelor of Science, De La Salle University",False,POINT (120.9809674 14.5907332)
Teresita Sy-Coson,2.7,Philippines,diversified,1174,70.0,"Manila, Philippines",Philippines,Widowed,3.0,"Bachelor of Science, Assumption College",False,POINT (120.9809674 14.5907332)
Tao Yuequn,2.7,China,Contact Lens,1174,61.0,"Hefei, China",China,,,,True,POINT (117.2218033 31.8228094)
Tong Jinquan,2.7,China,real estate,1174,66.0,"Shanghai, China",China,Married,2.0,,True,POINT (121.4692071 31.2322758)
Tsai Ming-kai,2.7,Taiwan,semiconductors,1174,71.0,"Hsinchu, Taiwan",Taiwan,Married,2.0,"Bachelor of Engineering, National Taiwan University; Master of Science in Engineering, University of Cincinnati",True,POINT (120.9686833 24.8066333)
Yitzhak Tshuva,2.7,Israel,real estate,1174,72.0,"Netanya, Israel",Israel,Married,5.0,,True,POINT (34.8566246 32.3286181)
Oprah Winfrey,2.7,United States,TV shows,1174,67.0,"Montecito, California",United States,In Relationship,,"Bachelor of Arts/Science, Tennessee State University",True,POINT (-117.1010783 33.4904195)
Zhang Wanzhen,2.7,China,electronics components,1174,71.0,"Chaozhou, China",China,,,,True,POINT (116.6205482 23.6566146)
Mortimer Zuckerman,2.7,United States,"real estate, media",1174,83.0,"New York, New York",United States,Divorced,2.0,"LLM, Harvard University; Bachelor of Arts/Science, McGill University; Master of Business Administration, University of Pennsylvania, The Wharton School",True,POINT (-74.00601519999999 40.7127281)
Brian Acton,2.6,United States,WhatsApp,1205,49.0,"Palo Alto, California",United States,Married,1.0,"Bachelor of Arts/Science, Stanford University",True,POINT (-122.1598465 37.4443293)
Rajendra Agarwal,2.6,India,pharmaceuticals,1205,,"Mumbai, India",India,,,,True,POINT (72.8773928 19.0759899)
John Armitage,2.6,Ireland,hedge funds,1205,61.0,"London, United Kingdom",Ireland,,,,True,POINT (-0.1276474 51.5073219)
Banwari Lal Bawri,2.6,India,pharmaceuticals,1205,68.0,"Mumbai, India",India,Married,2.0,,True,POINT (72.8773928 19.0759899)
Girdhari Lal Bawri,2.6,India,pharmaceuticals,1205,73.0,"Mumbai, India",India,Married,3.0,,True,POINT (72.8773928 19.0759899)
Guilherme Benchimol,2.6,Brazil,financial services,1205,44.0,"Rio de Janeiro, Brazil",Brazil,Single,2.0,"Bachelor of Arts/Economics, Universidade Federal do Rio de Janeiro",True,POINT (-43.2093727 -22.9110137)
Cai Dongchen,2.6,China,pharmaceuticals,1205,68.0,"Luancheng, China",China,,,"Master, Chinese Academy of Social Sciences; Master of Business Administration, Nankai University",True,POINT (114.6519713 37.8845246)
Choo Chong Ngen,2.6,Singapore,hotels,1205,68.0,"Singapore, Singapore",Singapore,Married,4.0,,True,POINT (103.8194992 1.357107)
Abilio dos Santos Diniz,2.6,Brazil,retail,1205,84.0,"Sao Paulo, Brazil",Brazil,Married,6.0,"Bachelor of Arts/Science, Fundacao Getulio Vargas",False,POINT (-46.6333824 -23.5506507)
"John Dorrance, III.",2.6,Ireland,Campbell Soup,1205,77.0,"Dublin, Ireland",Ireland,Married,2.0,,False,POINT (-6.2602732 53.3497645)
Bruce Flatt,2.6,Canada,money management,1205,55.0,"Toronto, Canada",Canada,Married,,"B.Com, University of Manitoba",True,POINT (-79.3839347 43.6534817)
Stein Erik Hagen,2.6,Norway,consumer goods,1205,64.0,"Oslo, Norway",Norway,Married,4.0,,True,POINT (10.7389701 59.9133301)
Caroline Hagen Kjos,2.6,Norway,conglomerate,1205,37.0,"Wollerau, Switzerland",Norway,Married,2.0,,False,POINT (8.719459499999999 47.1957261)
Hortensia Herrero,2.6,Spain,supermarkets,1205,70.0,"Valencia, Spain",Spain,Married,4.0,,False,POINT (-0.3763353 39.4697065)
Anthony Hsieh,2.6,United States,mortgage lender,1205,56.0,"Newport Beach, California",United States,Divorced,,"Bachelor of Business Administration, California State Fullerton",True,POINT (-117.9294401 33.6170092)
Hal Jackman,2.6,Canada,"insurance, investments",1205,88.0,"Toronto, Canada",Canada,Married,5.0,,True,POINT (-79.3839347 43.6534817)
Brad Kelley,2.6,United States,tobacco,1205,64.0,"Franklin, Tennessee",United States,Married,3.0,"Diploma, High School; Drop Out, Western Kentucky University",True,POINT (-86.8689419 35.925206)
Raj Kumar & Kishin RK,2.6,Singapore,real estate,1205,66.0,"Singapore, Singapore",Singapore,Married,1.0,,False,POINT (103.8194992 1.357107)
Adam Kwok,2.6,Hong Kong,real estate,1205,38.0,"Hong Kong, Hong Kong",Hong Kong,,,"Master of Business Administration, Harvard Business School; Bachelor of Science in Engineering, Stanford University",False,POINT (114.1628131 22.2793278)
Lai Shixian,2.6,China,sports apparel,1205,46.0,"Quanzhou, China",China,Married,,,True,POINT (118.6723605 24.8755492)
Stephen Lansdown,2.6,Guernsey,financial services,1205,68.0,"St. Peter Port, Guernsey",Guernsey,Married,2.0,,True,POINT (-2.5389979 49.4568142)
K.C. Liu,2.6,Taiwan,manufacturing,1205,67.0,"Taipei, Taiwan",Taiwan,Married,2.0,"Bachelor of Engineering, National Chiao Tung University",True,POINT (121.5636796 25.0375198)
Aloke Lohia,2.6,India,petrochemicals,1205,62.0,"Bangkok, Thailand",India,Married,3.0,,False,POINT (100.4930399 13.7544238)
Kalanithi Maran,2.6,India,media,1205,55.0,"Chennai, India",India,Married,1.0,"Master of Business Administration, University of Scranton",True,POINT (80.270186 13.0836939)
C. Dean Metropoulos,2.6,United States,investments,1205,75.0,"Palm Beach, Florida",United States,Married,2.0,"Bachelor of Arts/Science, Babson College; Master of Business Administration, Babson College",True,POINT (-80.4494174 26.6279798)
Yuji Otsuka,2.6,Japan,"copy machines, software",1205,67.0,"Tokyo, Japan",Japan,,,,False,POINT (139.7594549 35.6828387)
Daniel Pritzker,2.6,United States,"hotels, investments",1205,61.0,"Marin County, California",United States,Married,5.0,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, Tufts University",False,POINT (-122.6199638 38.0409144)
Ren Jianhua,2.6,China,kitchen appliances,1205,64.0,"Hangzhou, China",China,Married,,,True,POINT (120.2052342 30.2489634)
Alexey Repik,2.6,Russia,pharmaceuticals,1205,41.0,"Moscow, Russia",Russia,Married,3.0,"Master of Science, The National Research University Higher School of Economics",True,POINT (37.6174943 55.7504461)
Steven Sarowitz,2.6,United States,payroll software,1205,55.0,"Highland Park, Illinois",United States,Married,,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",True,POINT (-87.80034379999999 42.1816919)
Yuri Shefler,2.6,Russia,alcohol,1205,53.0,"Geneva, Switzerland",Russia,Married,4.0,"Bachelor of Arts/Science, Plekhanov Russian University of Economics",True,POINT (6.1466014 46.2017559)
Shum Chiu Hung & family,2.6,China,real estate,1205,,"Guangzhou, China",China,Married,,"EMBA, Fudan University",True,POINT (113.2592945 23.1301964)
Stephen Smith,2.6,Canada,finance and investments,1205,69.0,"Toronto, Canada",Canada,Married,3.0,"Bachelor of Science in Engineering, Queens University",True,POINT (-79.3839347 43.6534817)
Dan Snyder,2.6,United States,Washington Redskins,1205,56.0,"Potomac, Maryland",United States,Married,3.0,"Drop Out, University of Maryland",True,POINT (-78.83891 39.5675895)
Helmut Sohmen,2.6,Austria,shipping,1205,81.0,"Hong Kong, Hong Kong",Austria,Married,3.0,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, University of Vienna",False,POINT (114.1628131 22.2793278)
Tung Chee Hwa,2.6,Hong Kong,shipping,1205,83.0,"Hong Kong, Hong Kong",Hong Kong,Married,3.0,"Bachelor of Science in Engineering, University of Liverpool",False,POINT (114.1628131 22.2793278)
Pieter van der Does,2.6,Netherlands,payments software,1205,52.0,"Amsterdam, Netherlands",Netherlands,Married,,,True,POINT (4.8936041 52.3727598)
Wim van der Leegte,2.6,Netherlands,manufacturing,1205,73.0,"Eindhoven, Netherlands",Netherlands,Married,3.0,,False,POINT (5.478633 51.4392648)
Evan Williams,2.6,United States,Twitter,1205,49.0,"San Francisco, California",United States,Married,2.0,"Drop Out, University of Nebraska Lincoln",True,POINT (-122.419906 37.7790262)
Wu Guangming,2.6,China,medical equipment,1205,59.0,"Danyang, China",China,Married,1.0,"EMBA, China Europe International Business School",True,POINT (119.6012702 32.0109736)
Yang Yuanxi,2.6,China,video streaming app,1205,,"Beijing, China",China,,,,True,POINT (116.3912757 39.906217)
Yu Qibing & family,2.6,China,glass,1205,55.0,"Ningbo, China",China,,,,True,POINT (121.6203873 29.8622194)
Charles Zegar,2.6,United States,Bloomberg LP,1205,73.0,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Long Island University; Master of Science, New York University",True,POINT (-74.00601519999999 40.7127281)
Zhaojiang Zhu,2.6,China,Smartphones,1205,47.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
John Arrillaga,2.5,United States,real estate,1249,84.0,"Portola Valley, California",United States,"Widowed, Remarried",2.0,"Bachelor of Arts/Science, Stanford University",True,POINT (-122.219047 37.3736298)
Carol Jenkins Barnett,2.5,United States,Publix supermarkets,1249,64.0,"Lakeland, Florida",United States,Married,2.0,"Bachelor of Arts/Science, Florida Southern College",False,POINT (-81.9498042 28.0394654)
William Berkley,2.5,United States,insurance,1249,74.0,"Coconut Grove, Florida",United States,Married,3.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, New York University",True,POINT (-80.2388468 25.7398164)
Markus Blocher,2.5,Switzerland,chemicals,1249,50.0,"Wilen bei Wollerau, Switzerland",Switzerland,,7.0,,False,POINT (8.734379499999999 47.1976363)
Andrei Bokarev,2.5,Russia,"metals, mining",1249,54.0,"Moscow, Russia",Russia,Married,1.0,"Bachelor of Arts/Science, Finance Academy under the Government of the Russian Federation",True,POINT (37.6174943 55.7504461)
Jim Breyer,2.5,United States,venture capital,1249,59.0,"Austin, Texas",United States,Married,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Stanford University",True,POINT (-97.74369950000001 30.2711286)
Charles Bronfman,2.5,Canada,liquor,1249,89.0,"Montreal, Canada",Canada,"Widowed, Remarried",2.0,"Bachelor of Arts/Science, McGill University",False,POINT (-73.61036420000001 45.4972159)
Byju Raveendran and Divya Gokulnath,2.5,India,education technology,1249,39.0,"Bangalore, India",India,Married,2.0,,True,POINT (77.59129969999999 12.9791198)
Chang Jing,2.5,China,technology,1249,38.0,"Beijing, China",China,,,,True,POINT (116.3912757 39.906217)
Leon G. Cooperman,2.5,United States,hedge funds,1249,78.0,"Boca Raton, Florida",United States,Married,2.0,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Hunter College",True,POINT (-80.0830984 26.3586885)
Jose Luis Cutrale,2.5,Brazil,orange juice,1249,74.0,"Sao Paulo, Brazil",Brazil,Married,2.0,,False,POINT (-46.6333824 -23.5506507)
Gerald Ford,2.5,United States,banking,1249,76.0,"Dallas, Texas",United States,Married,6.0,"Bachelor of Arts/Science, Southern Methodist University; Doctor of Jurisprudence, Southern Methodist University",True,POINT (-96.7968559 32.7762719)
Phillip Frost,2.5,United States,pharmaceuticals,1249,84.0,"Miami Beach, Florida",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania; Medical Doctor, Yeshiva U Albert Einstein College of Medicine",True,POINT (-80.13530059999999 25.7929198)
Mikhail Gutseriev,2.5,Russia,"oil, real estate",1249,63.0,"Moscow, Russia",Russia,Married,2.0,"Bachelor of Arts/Science, Kazakh Technological Institute",True,POINT (37.6174943 55.7504461)
Hans-Werner Hector,2.5,Germany,SAP,1249,81.0,"Weinheim, Germany",Germany,Married,,"Master of Science, University of Saarland",True,POINT (8.6717458 49.5462349)
Hu Kun,2.5,China,medical equipment,1249,51.0,"Qinhuangdao, China",China,,,,True,POINT (119.5894129 39.9395724)
"Jeremy Jacobs, Sr. & family",2.5,United States,food service,1249,81.0,"East Aurora, New York",United States,Married,6.0,"Bachelor of Arts/Science, SUNY Buffalo",False,POINT (-78.6177611 42.7689141)
Mark & Robyn Jones,2.5,United States,insurance,1249,,"Westlake, Texas",United States,Married,6.0,,True,POINT (-97.1943701 32.991226)
Hans Langer,2.5,Germany,3D printing,1249,69.0,Germany,Germany,Married,2.0,,True,POINT (10.4234469 51.0834196)
Lee Hae-jin,2.5,South Korea,Internet,1249,53.0,"Seoul, South Korea",South Korea,Married,2.0,"Master of Science, Korea Advanced Institute of Science and Technology; Bachelor of Arts/Science, Seoul National University",True,POINT (126.9782914 37.5666791)
Liang Feng,2.5,China,manufacturing,1249,52.0,"Shanghai, China",China,Married,,,True,POINT (121.4692071 31.2322758)
Lin Ming-hsiung,2.5,Taiwan,supermarkets,1249,71.0,"Taipei, Taiwan",Taiwan,Married,2.0,,True,POINT (121.5636796 25.0375198)
Mohamed Mansour,2.5,Egypt,diversified,1249,73.0,"Cairo, Egypt",Egypt,Married,2.0,"Master of Business Administration, Auburn University",True,POINT (31.2357257 30.0443879)
Harsh Mariwala,2.5,India,consumer goods,1249,69.0,"Mumbai, India",India,Married,2.0,"Bachelor of Arts/Science, Bombay University",False,POINT (72.8773928 19.0759899)
Najib Mikati,2.5,Lebanon,telecom,1249,65.0,"Beirut, Lebanon",Lebanon,Married,3.0,"Bachelor of Arts/Science, American University of Beirut, Lebanon; Master of Business Administration, American University of Beirut, Lebanon",True,POINT (35.47843 33.8959203)
Taha Mikati,2.5,Lebanon,telecom,1249,76.0,"Beirut, Lebanon",Lebanon,Married,3.0,"Bachelor of Arts/Science, American University of Beirut, Lebanon",True,POINT (35.47843 33.8959203)
Pedro Moreira Salles,2.5,Brazil,"banking, minerals",1249,61.0,"Sao Paulo, Brazil",Brazil,Married,2.0,"Bachelor of Arts/Science, University of California, Los Angeles",False,POINT (-46.6333824 -23.5506507)
José Neves,2.5,Portugal,luxury fashion,1249,46.0,"London, United Kingdom",Portugal,,,,True,POINT (-0.1276474 51.5073219)
Jerry Ng,2.5,Indonesia,banking,1249,56.0,"Jakarta, Indonesia",Indonesia,,,"Bachelor of Business Administration, University of Washington",True,POINT (106.827183 -6.1753942)
Nandan Nilekani,2.5,India,software services,1249,65.0,"Bangalore, India",India,Married,2.0,"Bachelor of Arts/Science, Indian Institute of Technology",True,POINT (77.59129969999999 12.9791198)
Ravi Pillai,2.5,India,construction,1249,67.0,"Dubai, United Arab Emirates",India,Married,2.0,,True,POINT (55.1885387 25.0742823)
Victor Pinchuk,2.5,Ukraine,"steel pipes, diversified",1249,60.0,"Kiev, Ukraine",Ukraine,Married,4.0,"Doctorate, Dniepropetrovsk Metallurgical Institute",True,POINT (30.5241361 50.4500336)
Matthew Prince,2.5,United States,cybersecurity,1249,46.0,"Park City, Utah",United States,Married,,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Trinity College Connecticut; Doctor of Jurisprudence, University of Chicago",True,POINT (-111.4979741 40.6460635)
John Pritzker,2.5,United States,"hotels, investments",1249,67.0,"San Francisco, California",United States,Divorced,3.0,"Bachelor of Arts/Science, Menlo College",False,POINT (-122.419906 37.7790262)
Rajan Raheja & family,2.5,India,diversified,1249,66.0,"Mumbai, India",India,Married,2.0,"Bachelor of Arts/Science, Bombay University",False,POINT (72.8773928 19.0759899)
Matthias Reinhart,2.5,Switzerland,finance,1249,61.0,"Zurich, Switzerland",Switzerland,,,,True,POINT (8.5410422 47.3744489)
Ruan Shuilong & family,2.5,China,chemicals,1249,85.0,"Shangyu, China",China,,,,True,POINT (120.8641815 30.0348513)
Rodney Sacks,2.5,United States,energy drinks,1249,71.0,"Laguna Beach, California",United States,,,"Law Degree, University of Witwatersrand",True,POINT (-117.785366 33.5426975)
Carlos Sanchez,2.5,Brazil,generic drugs,1249,59.0,"Santo Andre, Brazil",Brazil,Married,,,False,POINT (-46.5322504 -23.6573395)
